time,open,high,low,close,MA,Smoothing Line,MA,Smoothing Line,Volume,Volume MA,Histogram,MACD,Signal,Plot,Plot,Plot
1651839180,32927,32930,32919,32921,32896.346153846156,32893.730769230686,32912.083333333336,32905.93333333325,88,148.45,2.5080834943539667,11.541215030811145,9.033131536457178,11.541215030811145,9.033131536457178,2.5080834943539667
1651839240,32921,32922,32911,32915,32897.38461538462,32894.96923076915,32914.166666666664,32908.999999999905,87,149.15,1.4289744669245898,10.819349620112916,9.390375153188327,10.819349620112916,9.390375153188327,1.4289744669245898
1651839300,32914,32919,32910,32911,32898.653846153844,32896.230769230686,32914.916666666664,32911.36666666658,76,144.6,0.33681971844241865,9.81139980124135,9.474580082798932,9.81139980124135,9.474580082798932,0.33681971844241865
1651839360,32912,32920,32910,32911,32899.88461538462,32897.47692307684,32915.166666666664,32913.14999999991,105,141.85,-0.4517563036383372,8.90988470325101,9.361641006889347,8.90988470325101,9.361641006889347,-0.4517563036383372
1651839420,32912,32918,32909,32918,32901.61538461538,32898.776923076846,32917.083333333336,32914.68333333325,99,135.7,-0.5609633124516815,8.660436866324744,9.221400178776426,8.660436866324744,9.221400178776426,-0.5609633124516815
1651839480,32918,32927,32917,32917,32902.92307692308,32900.092307692226,32918.833333333336,32916.033333333246,96,133.05,-0.7478929351348533,8.28653400985786,9.034426944992713,8.28653400985786,9.034426944992713,-0.7478929351348533
1651839540,32918,32928,32917,32923,32904.38461538462,32901.49230769223,32919.75,32917.14999999991,86,131,-0.5253101807439045,8.377789219062834,8.903099399806738,8.377789219062834,8.903099399806738,-0.5253101807439045
1651839600,32924,32926,32908,32908,32905.61538461538,32902.88461538453,32918.833333333336,32917.93333333325,78,125.05,-1.3966948097666574,7.157230887598416,8.553925697365074,7.157230887598416,8.553925697365074,-1.3966948097666574
1651839660,32909,32923,32909,32918,32906.42307692308,32904.19230769222,32918.333333333336,32918.56666666658,105,124.45,-1.309452633461353,6.917109905538382,8.226562538999735,6.917109905538382,8.226562538999735,-1.309452633461353
1651839720,32918,32922,32910,32911,32907.230769230766,32905.3153846153,32917.166666666664,32918.58333333324,114,123.55,-1.7078509037795175,6.0917489092753385,7.799599813054856,6.0917489092753385,7.799599813054856,-1.7078509037795175
1651839780,32911,32918,32906,32906,32908.57692307692,32906.44615384607,32915.5,32917.91666666657,112,121.5,-2.2582266366671906,4.976816517220868,7.235043153888059,4.976816517220868,7.235043153888059,-2.2582266366671906
1651839840,32907,32909,32899,32909,32909.92307692308,32907.553846153765,32914,32916.76666666657,113,119.85,-2.359319027583889,4.285894369408197,6.645213396992086,4.285894369408197,6.645213396992086,-2.359319027583889
1651839900,32909,32912,32902,32906,32910.61538461538,32908.553846153765,32912.75,32915.5499999999,159,120.7,-2.5510385112470626,3.4564152579332585,6.007453769180321,3.4564152579332585,6.007453769180321,-2.5510385112470626
1651839960,32906,32909,32881,32888,32910.57692307692,32909.38461538453,32910.5,32913.983333333235,173,124.2,-3.7409616732362494,1.3312516776350094,5.072213350871259,1.3312516776350094,5.072213350871259,-3.7409616732362494
1651840020,32887,32908,32880,32906,32911.230769230766,32910.184615384525,32910.083333333336,32912.566666666564,210,124.35,-3.1881995181754004,1.086963953152008,4.275163471327408,1.086963953152008,4.275163471327408,-3.1881995181754004
1651840080,32906,32944,32897,32917,32912.269230769234,32910.92307692299,32910.583333333336,32911.583333333234,556,140.6,-2.0115897684937907,1.76067626071017,3.7722660292039607,1.76067626071017,3.7722660292039607,-2.0115897684937907
1651840140,32918,32924,32903,32920,32912.96153846154,32911.53076923068,32910.75,32910.93333333323,345,151.75,-1.0116007503225082,2.5077650913008256,3.5193658416233338,2.5077650913008256,3.5193658416233338,-1.0116007503225082
1651840200,32919,33066,32919,33038,32917.96153846154,32912.999999999905,32920.833333333336,32912.549999999894,1670,228.85,7.1666017200750325,12.477617991717125,5.311016271642092,12.477617991717125,5.311016271642092,7.1666017200750325
1651840260,33038,33044,32971,32983,32921.346153846156,32915.15384615376,32925.833333333336,32915.61666666657,1422,292.3,8.358464454456392,15.759096839712583,7.400632385256191,15.759096839712583,7.400632385256191,8.358464454456392
1651840320,32984,33006,32957,32991,32925,32917.907692307606,32932.75,32920.14999999989,902,329.8,9.110407565484044,18.788641842111247,9.678234276627203,18.788641842111247,9.678234276627203,9.110407565484044
1651840380,32990,33001,32957,32965,32927.03846153846,32920.86153846145,32936.666666666664,32925.36666666656,719,361.35,7.356634447354114,18.874027335819846,11.517392888465732,18.874027335819846,11.517392888465732,7.356634447354114
1651840440,32964,32994,32964,32990,32929.769230769234,32924.22307692299,32943.25,32931.86666666657,621,388.05,7.3621962221014225,20.72013816609251,13.357941943991088,20.72013816609251,13.357941943991088,7.3621962221014225
1651840500,32993,33028,32978,33025,32933.653846153844,32927.36153846145,32953.166666666664,32938.33333333323,683,418.4,9.091580170067793,24.72241715657583,15.630836986508037,24.72241715657583,15.630836986508037,9.091580170067793
1651840560,33027,33060,33027,33055,32938.653846153844,32930.823076922985,32965.333333333336,32946.23333333323,580,442.15,11.470955426670294,29.969531269845902,18.498575843175608,29.969531269845902,18.498575843175608,11.470955426670294
1651840620,33054,33062,33003,33025,32942.46153846154,32934.3153846153,32975.25,32954.733333333235,744,474.4,10.277797403602886,31.345822597679216,21.06802519407633,31.345822597679216,21.06802519407633,10.277797403602886
1651840680,33025,33046,33024,33037,32946.692307692305,32938.24615384607,32987.666666666664,32964.93333333323,507,494.95,9.56490874855907,33.024161129775166,23.459252381216096,33.024161129775166,23.459252381216096,9.56490874855907
1651840740,33036,33062,33034,33034,32951.03846153846,32942.49999999991,32998.333333333336,32975.949999999895,532,517.25,8.211349111225779,33.72343877024832,25.512089659022543,33.72343877024832,25.512089659022543,8.211349111225779
1651840800,33035,33041,33014,33019,32955.03846153846,32946.77692307684,33006.833333333336,32986.68333333323,407,533.7,5.742657855468035,32.69041197835759,26.947754122889553,32.69041197835759,26.947754122889553,5.742657855468035
1651840860,33019,33025,32997,33003,32958.57692307692,32950.761538461455,33013.75,32996.36666666657,409,548.9,2.627530237236563,30.232166919435258,27.604636682198695,30.232166919435258,27.604636682198695,2.627530237236563
1651840920,33003,33019,32987,32993,32961.730769230766,32954.6153846153,33010,33003.31666666657,419,564.15,-0.3525537221877073,27.16394452946406,27.516498251651768,27.16394452946406,27.516498251651768,-0.3525537221877073
1651840980,32992,33000,32980,32984,32964.269230769234,32958.13076923069,33010.083333333336,33007.7999999999,315,574.3,-3.027152801934495,23.73255724923365,26.759710051168145,23.73255724923365,26.759710051168145,-3.027152801934495
1651841040,32982,32985,32969,32974,32966.46153846154,32961.2153846153,33008.666666666664,33009.86666666657,265,581.9,-5.426991144245896,19.975971120860777,25.402962265106673,19.975971120860777,25.402962265106673,-5.426991144245896
1651841100,32975,32983,32967,32976,32968.5,32963.907692307606,33009.583333333336,33010.41666666657,221,585,-6.750630111491585,16.96467462574219,23.715304737233776,16.96467462574219,23.715304737233776,-6.750630111491585
1651841160,32978,32978,32939,32943,32969.846153846156,32966.16153846145,33005.666666666664,33008.7999999999,374,595.05,-9.54857300010611,11.779588487101137,21.328161487207247,11.779588487101137,21.328161487207247,-9.54857300010611
1651841220,32942,32960,32936,32939,32970.653846153844,32967.94615384607,32998.5,33006.499999999905,294,599.25,-11.251432854953332,7.26387041851558,18.515303273468913,7.26387041851558,18.515303273468913,-11.251432854953332
1651841280,32938,32960,32922,32924,32971.153846153844,32969.32307692299,32987.583333333336,33001.9999999999,608,601.85,-12.854999162671524,2.4465543201295077,15.301553482801031,2.4465543201295077,15.301553482801031,-12.854999162671524
1651841340,32921,32927,32882,32889,32970.5,32970.13076923068,32976.25,32995.51666666657,730,621.1,-15.559322736039817,-4.147599937248742,11.411722798791075,-4.147599937248742,11.411722798791075,-15.559322736039817
1651841400,32890,32902,32887,32892,32969.846153846156,32970.399999999914,32964.166666666664,32986.43333333323,542,564.7,-16.35128045897819,-9.027377774931665,7.323902684046527,-9.027377774931665,7.323902684046527,-16.35128045897819
1651841460,32891,32913,32888,32897,32969.5,32970.330769230684,32952.75,32975.849999999904,432,515.2,-15.738185379748039,-12.34882904063852,3.3893563391095176,-12.34882904063852,3.3893563391095176,-15.738185379748039
1651841520,32897,32902,32881,32885,32969.38461538462,32970.076923076835,32941.583333333336,32964.46666666657,475,493.85,-15.325599658575964,-15.767643234110437,-0.4420435755344738,-15.767643234110437,-0.4420435755344738,-15.325599658575964
1651841580,32886,32892,32859,32873,32968.11538461538,32969.469230769144,32930.75,32953.099999999904,601,487.95,-15.0253876021104,-19.223778078172472,-4.198390476062073,-19.223778078172472,-4.198390476062073,-15.0253876021104
1651841640,32873,32883,32863,32866,32966.153846153844,32968.599999999904,32920.166666666664,32941.88333333324,527,483.25,-14.45801257697293,-22.270906197278237,-7.8128936203053065,-22.270906197278237,-7.8128936203053065,-14.45801257697293
1651841700,32865,32869,32838,32844,32963.230769230766,32967.27692307683,32908.5,32930.749999999905,478,473,-14.677239937283876,-26.15944354191015,-11.482203604626275,-26.15944354191015,-11.482203604626275,-14.677239937283876
1651841760,32844,32852,32836,32847,32955.88461538462,32964.55384615376,32897.916666666664,32919.78333333323,361,462.05,-13.74910817912162,-28.6685888285283,-14.91948064940668,-28.6685888285283,-14.91948064940668,-13.74910817912162
1651841820,32847,32851,32831,32844,32950.53846153846,32960.78461538452,32886.916666666664,32908.849999999904,467,448.2,-12.502057138188924,-30.547052072142833,-18.04499493395391,-30.547052072142833,-18.04499493395391,-12.502057138188924
1651841880,32844,32855,32836,32837,32944.61538461538,32956.08461538453,32878.083333333336,32898.31666666657,374,441.55,-11.34726208366822,-32.229072538539185,-20.881810454870966,-32.229072538539185,-20.881810454870966,-11.34726208366822
1651841940,32838,32847,32815,32823,32939.153846153844,32950.684615384525,32868.416666666664,32887.96666666657,666,448.25,-10.731688500224067,-34.29642108015105,-23.564732579926982,-34.29642108015105,-23.564732579926982,-10.731688500224067
1651842000,32822,32847,32815,32833,32933.11538461538,32944.66153846145,32860.833333333336,32878.43333333324,684,462.1,-8.930274252310006,-34.72757539531449,-25.797301143004482,-34.72757539531449,-25.797301143004482,-8.930274252310006
